Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton  
8/8/2022 23:18:37,2018-2019,Potato,Dhaka,Manikgonj,1769,19.471,34449
8/8/2022 23:20:23,2018-2019,Potato,Dhaka,Munsigonj,33159,32.846,1089112
8/8/2022 23:21:48,2018-2019,Potato,Dhaka,Madaripur,613,26.45,16213
8/8/2022 23:22:49,2018-2019,Potato,Dhaka,Narayangonj,2968,25.767,76487
8/8/2022 23:23:32,2018-2019,Potato,Dhaka,Narsingdi,1342,16.114,21630
8/8/2022 23:24:19,2018-2019,Potato,Dhaka,Rajbari,212,17.544,3727
8/8/2022 23:24:59,2018-2019,Potato,Dhaka,Shariatpur,1906,29.952,57102
8/8/2022 23:25:38,2018-2019,Potato,Dhaka,Tangail,3234,13.634,44088
8/8/2022 23:26:29,2018-2019,Potato,Khulna,Bagerhat,743,14.859,11034
8/8/2022 23:27:07,2018-2019,Potato,Khulna,Chuadanga,2500,21.545,53857
8/8/2022 23:27:50,2018-2019,Potato,Khulna,Jessore,2805,20.809,58366
8/8/2022 23:28:48,2018-2019,Potato,Khulna,Jhenaidah,1659,20.055,33274
8/8/2022 23:29:24,2018-2019,Potato,Khulna,Khulna,484,15.583,7538
8/8/2022 23:30:08,2018-2019,Potato,Khulna,Kushtia,2243,22.681,48624
8/8/2022 23:33:00,2018-2019,Potato,Khulna,Magura,26,15.075,390
8/8/2022 23:34:05,2018-2019,Potato,Khulna,Meherpur,1205,22.932,27626
8/8/2022 23:35:30,2018-2019,Potato,Khulna,Narail,25,19.586,483
8/8/2022 23:36:32,2018-2019,Potato,Khulna,Satkhira,2468,14.806,36544
8/8/2022 23:37:41,2018-2019,Potato,Mymensingh,Jamalpur,4929,18.413,90766
8/8/2022 23:38:31,2018-2019,Potato,Mymensingh,Mymensingh,3724,9.899,36866
8/8/2022 23:39:42,2018-2019,Potato,Mymensingh,Netrokona,1582,9.468,14981
8/8/2022 23:41:27,2018-2019,Potato,Mymensingh,Sherpur,4673,16.849,78731
8/8/2022 23:42:56,2018-2019,Potato,Rajshahi,Bogra,58701,20.187,1184989
8/8/2022 23:44:07,2018-2019,Potato,Rajshahi,Joypurhat,38310,24.251,929055
8/8/2022 23:45:19,2018-2019,Potato,Rajshahi,Noagaon,21497,17.01,365669
8/8/2022 23:46:06,2018-2019,Potato,Rajshahi,Natore ,695,19.804,13766
8/8/2022 23:47:07,2018-2019,Potato,Rajshahi,Nawabgonj,1149,16.895,19410
